code,title,credit_hours,lab_hours
CSC-100,"Application of Information & Communication Technologies",3,3
CSC-101,"Programming Fundamentals",4,3
CSC-102,"Object Oriented Programming",4,3
CSC-103,"Database Systems",4,3
CSC-110,"Discrete Structures",3,0
CSC-111,"Digital Logic Design",3,3
MTH-101,"Calculus and Analytic Geometry",3,0
MTH-102,"Multivariable Calculus",3,0
MTH-103,"Linear Algebra",3,0
STT-101,"Probability & Statistics",3,0
ENG-102,"Functional English",3,0
ENG-201,"Expository Writing",3,0
ENG-401,"Technical & Business Writing",3,0
IS-201,"Islamic Studies/Ethics",2,0
CSC-201,"Data Structures",4,3
CSC-202,"Information Security",3,3
CSC-203,"Artificial Intelligence",3,3
CSC-204,"Computer Networks",3,3
CSC-205,"Software Engineering",3,0
CSC-211,"Computer Organization & Assembly Language",3,3
CSC-251,"Web Technologies",3,3
CSC-252,"Advanced Programming",3,3
CSC-301,"Operating Systems",3,3
CSC-302,"Theory of Automata",3,0
CSC-303,"Advanced Database Management Systems",3,3
CSC-311,"Computer Architecture",3,3
CSC-313,"HCI & Computer Graphics",3,3
CSC-314,"Parallel & Distributed Computing",3,3
CSC-351,"Web Engineering",3,3
CSC-353,"Mobile Application Development 1",3,3
CSC-398,"Internship",3,3
CSC-401,"Analysis of Algorithms",3,0
CSC-498,"Final Year Project – I",2,6
CSC-499,"Final Year Project – II",4,12
CSE-320,"Software Design & Architecture",3,0
CSE-321,"Software Construction & Development",3,3
CSE-322,"Software Project Management",3,3
CSE-323,"Software Quality Engineering",3,3
CSE-324,"Software Requirement Engineering",3,3
CSE-325,"Object Oriented Analysis & Design",3,3
CSE-326,"Software Re-Engineering",3,3
CSE-422,"Software Testing & Quality Assurance",3,3
PHY-201,"Applied Physics",3,3
SSH-301,"Introduction to Management",2,0
SSH-401,"Entrepreneurship",2,0
SSH-402,"Professional Practices",2,0
SSH-403,"Civics and Community Engagement",2,0
SSH-404,"Ideology and Constitution of Pakistan",2,0
MGT-351,"Introduction to Marketing",3,0
MGT-322,"Financial Accounting",3,0
FMPE-580,"Precision Agriculture",3,1
LWCE-601,"GIS & Remote Sensing",2,1
TOQ-101,"Translation of Quran I",1,0
TOQ-102,"Translation of Quran II",1,0
TOQ-201,"Translation of Quran III",1,0
TOQ-301,"Translation of Quran IV",1,0
MTH-001,"Pre-Calculus I",3,0
MTH-002,"Pre-Calculus II",3,0
