program_code,course_code,semester
BSSE,CSC-100,1
BSSE,CSC-101,1
BSSE,CSC-110,1
BSSE,MTH-101,1
BSSE,ENG-102,1
BSSE,CSC-102,2
BSSE,CSC-103,2
BSSE,CSC-111,2
BSSE,MTH-102,2
BSSE,STT-101,2
BSSE,CSC-201,3
BSSE,CSC-202,3
BSSE,CSC-203,3
BSSE,CSC-204,3
BSSE,CSC-205,3
BSSE,MTH-103,3
BSSE,CSC-211,4
BSSE,PHY-201,4
BSSE,ENG-201,4
BSSE,IS-201,4
BSSE,CSC-301,5
BSSE,CSE-320,5
BSSE,CSE-321,5
BSSE,SSH-301,5
BSSE,CSC-398,5
BSSE,CSE-322,6
BSSE,CSE-323,6
BSSE,CSE-324,6
BSSE,CSC-314,6
BSSE,CSC-498,7
BSSE,CSC-401,7
BSSE,MGT-351,7
BSSE,ENG-401,7
BSSE,SSH-401,7
BSSE,CSC-499,8
BSSE,SSH-402,8
BSSE,SSH-403,8
BSSE,SSH-404,8
